slot	range
abstract	boolean
alias	string
aliases	string
close_mappings	uriorcurie
comments	string
deprecated	string
description	string
domain	class_definition
exact_mappings	uriorcurie
examples	example
from_schema	uri
identifier	boolean
ifabsent	string
in_subset	subset_definition
inherited	boolean
inlined	boolean
is_a	slot_definition
mappings	uriorcurie
multivalued	boolean
name	string
notes	string
owner	definition
range	element
range_expression	anonymous_class_expression
readonly	string
recommended	boolean
see_also	uriorcurie
singular_name	string
slot_uri	uriorcurie
status	uriorcurie
todos	string
