name,range,multivalued
id,uri,
version,string,
imports,uriorcurie,True
license,string,
prefixes,prefix,True
emit_prefixes,ncname,True
default_curi_maps,string,True
default_prefix,string,
default_range,type_definition,
subsets,subset_definition,True
types,type_definition,True
enums,enum_definition,True
slot_definitions,slot_definition,True
classes,class_definition,True
metamodel_version,string,
source_file,string,
source_file_date,datetime,
source_file_size,integer,
generation_date,datetime,
slot_names_unique,boolean,
settings,setting,True
categories,uriorcurie,True
keywords,string,True
name,ncname,
id_prefixes,ncname,True
definition_uri,uriorcurie,
local_names,local_name,True
conforms_to,string,
extensions,extension,True
annotations,annotation,True
description,string,
alt_descriptions,alt_description,True
title,string,
deprecated,string,
todos,string,True
notes,string,True
comments,string,True
examples,example,True
in_subset,subset_definition,True
from_schema,uri,
imported_from,string,
source,uriorcurie,
in_language,string,
see_also,uriorcurie,True
deprecated element has exact replacement,uriorcurie,
deprecated element has possible replacement,uriorcurie,
aliases,string,True
structured_aliases,structured_alias,True
mappings,uriorcurie,True
exact mappings,uriorcurie,True
close mappings,uriorcurie,True
related mappings,uriorcurie,True
narrow mappings,uriorcurie,True
broad mappings,uriorcurie,True
rank,integer,
